DATA;ESN;MLP;RF;XGBoost;WSB
2023-11-30;-3469.98325984285;22247.137523650526;16129.921742701741;18823.768;18823.7677180171
2023-12-31;12068.371768258448;12266.611636309852;15906.059846079846;16340.557;16150.406359102535
2024-01-31;33439.77701325865;13189.978784869083;13870.080283498177;12005.465;12176.933029733596
2024-02-29;24139.57890501116;14599.033623250501;15033.6217059646;14689.781;14711.129824797203
2024-03-31;33891.2790696158;6567.162841371061;15976.490004810004;13761.407;14135.104773229174
2024-04-30;35310.20757027021;9507.009512634871;18180.573660413662;13510.947;13604.534567308643
2024-05-31;12875.577893059199;15517.826578953502;15662.029603174606;16105.837;15931.763022837007
2024-06-30;14511.997823815329;13324.637978276196;15318.767243205137;17175.254;15840.86622394275
2024-07-31;20480.373812264872;15884.267398799424;13255.315083512978;9683.076;12980.7469493616
2024-08-31;7276.345071760893;20027.14844484876;13560.202006034902;11681.866;12394.860414186072
2024-09-30;-7314.485694642193;21846.976922238715;15852.836406610819;13807.783;16643.23633892396
2024-10-31;19341.826316670915;24750.418100453273;17406.82807327748;20449.596;19935.655660120665
