DATA;ESN;MLP;RF;XGBoost;WSB-LOCAL;WSB-GLOBAL
2023-11-30;26942.583491888498;25059.70285532206;20621.118532763532;20338.104;20338.10366553068;20338.10366553068
2023-12-31;23010.164927120062;25820.834115905305;19067.4834004884;17113.227;17114.702193517205;17114.702193517205
2024-01-31;14878.38706933942;14956.195278116149;18045.504630924635;14364.958;14365.23391158104;14365.23391158104
2024-02-29;19074.54875132907;20639.397085236433;16605.25964124111;17565.803;17566.93450151367;17566.93450151367
2024-03-31;25632.55040444851;23818.706175932068;24113.034237984244;23226.555;23227.294740008423;23227.294740008423
2024-04-30;22593.421336284762;21352.924335134325;25372.638680023683;24914.213;24911.313494149064;24911.313494149064
2024-05-31;7647.320134822373;20475.267762452742;15200.634413320884;15756.321;15755.487267004237;15755.487267004237
2024-06-30;7269.937170206015;15142.266638440393;13555.712539116657;12230.254;12233.962073842076;12233.962073842076
2024-07-31;2641.427095504282;8234.430425767667;10444.945268979385;8347.746;8347.51912751847;8347.51912751847
2024-08-31;11890.355673333655;13528.596463008704;13660.87564065564;16675.246;16668.315610947055;16668.315610947055
2024-09-30;7093.464481366888;13302.140669478371;16553.986562881564;16256.297;16248.911773173024;16248.911773173024
2024-10-31;18323.62759630786;20888.63912382561;22498.725262515258;21381.842;21380.48700377676;21380.48700377676
